"",bin,full_add,point,precision
74,140006180,"ПАВЛОДАР,Торайгырова,56",76.95143 52.297299,exact
133,240004574,"ПАВЛОДАР,ул. Естая,д. 81",76.960323 52.280652,exact
152,240006828,"ПАВЛОДАР,ул.Катаева, д.109",76.976295 52.25858,exact
205,340002849,"ПАВЛОДАР,Катаева,44",76.97387 52.270783,exact
233,340007245,"ПАВЛОДАР,Катаева,46",76.974157 52.269422,exact
343,540001263,"ПАВЛОДАР,ул. Тауелсыздык проспект,18/1",76.965093 52.292711,exact
464,740001042,"ПАВЛОДАР,ул. 50-ЛЕТИЯ Г.ЭКИБАСТУЗА,1",75.319802 51.746898,exact
478,740004969,"ПАВЛОДАР,ул. Джамбульская,4/1",76.967609 52.259451,number
521,840003855,"ПАВЛОДАР,ул. Центральный промышленный район, д. а/я 106",77.015363 52.27037,other
688,1140003812,"ПАВЛОДАР,Лермонтова,89",76.956101 52.289968,exact
698,1140012722,"ПАВЛОДАР,ул. Академика Чокина,25",76.946929 52.266842,exact
774,1240006276,"ПАВЛОДАР,Торайгырова,115/1",76.970402 52.297431,exact
846,10140004463,"ПАВЛОДАР,ул. Лермонтова,д. 45/2",76.942474 52.289698,exact
1051,10441005577,"ПАВЛОДАР,Каирбаева,94",76.959587 52.288359,exact
1218,10740002885,"ПАВЛОДАР,1 Мая,10",76.951044 52.293196,exact
1225,10740004148,"ПАВЛОДАР,ул.Ак.Сатпаева, д.46",76.939581 52.28875,exact
1226,10740004188,"ПАВЛОДАР,Елгина,60",76.987264 52.292188,exact
1231,10740006035,"ПАВЛОДАР,Лермонтова,47",76.942995 52.289907,exact
1353,10940007833,"ПАВЛОДАР,Ломова,60",76.963036 52.264682,exact
1408,11040008247,"ПАВЛОДАР,ул. Железнодорожная , д. 2/1, кв. (офис) 6",76.974732 52.29829,number
1413,11040010070,"ПАВЛОДАР,ул. Торайгырова,д. 8",76.929457 52.299205,exact
1452,11140002589,"ПАВЛОДАР,ул. 1 Мая,17",76.952849 52.292573,exact
